departamento,provincia,candidato,partido,votos
AMAZONAS,BONGARÁ,ALFONSO CARLOS ESPA Y GARCES-ALVEAR,PARTIDO SICREO,188
AMAZONAS,BONGARÁ,MARIA SOLEDAD PEREZ TELLO,"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",177
AMAZONAS,BONGARÁ,RONALD DARWIN ATENCIO SOTOMAYOR,ALIANZA ELECTORAL VENCEREMOS,142
AMAZONAS,BONGARÁ,GEORGE PATRICK FORSYTH SOMMER,PARTIDO DEMOCRÁTICO SOMOS PERÚ,142
AMAZONAS,BONGARÁ,HERBERT CALLER GUTIERREZ,PARTIDO PATRIÓTICO DEL PERÚ,127
AMAZONAS,BONGARÁ,VLADIMIR ROY CERRON ROJAS,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,120
AMAZONAS,BONGARÁ,LUIS FERNANDO OLIVERA VEGA,PARTIDO FRENTE DE LA ESPERANZA 2021,107
AMAZONAS,BONGARÁ,CHARLIE CARRASCO SALAZAR,PARTIDO DEMÓCRATA UNIDO PERÚ,63
AMAZONAS,BONGARÁ,ALEX GONZALES CASTILLO,PARTIDO DEMÓCRATA VERDE,57
AMAZONAS,BONGARÁ,ROSARIO DEL PILAR FERNANDEZ BAZAN,UN CAMINO DIFERENTE,53
AMAZONAS,BONGARÁ,PITTER ENRIQUE VALDERRAMA PEÑA,PARTIDO APRISTA PERUANO,52
AMAZONAS,BONGARÁ,YONHY LESCANO ANCIETA,PARTIDO POLÍTICO COOPERACIÓN POPULAR,49
AMAZONAS,BONGARÁ,MARIO ENRIQUE VIZCARRA CORNEJO,PARTIDO POLÍTICO PERÚ PRIMERO,49
AMAZONAS,BONGARÁ,MESIAS ANTONIO GUEVARA AMASIFUEN,PARTIDO MORADO,37
AMAZONAS,BONGARÁ,FRANCISCO ERNESTO DIEZ-CANSECO TÁVARA,PARTIDO POLÍTICO PERÚ ACCIÓN,28
AMAZONAS,BONGARÁ,WOLFGANG MARIO GROZO COSTA,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,25
AMAZONAS,BONGARÁ,JOSE DANIEL WILLIAMS ZAPATA,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,24
AMAZONAS,BONGARÁ,FIORELLA GIANNINA MOLINELLI ARISTONDO,FUERZA Y LIBERTAD,21
AMAZONAS,BONGARÁ,ARMANDO JOAQUIN MASSE FERNANDEZ,PARTIDO DEMOCRATICO FEDERAL,20
AMAZONAS,BONGARÁ,ROBERTO ENRIQUE CHIABRA LEON,UNIDAD NACIONAL,20
AMAZONAS,BONGARÁ,PAUL DAVIS JAIMES BLANCO,PROGRESEMOS,18
AMAZONAS,BONGARÁ,ALVARO GONZALO PAZ DE LA BARRA FREIGEIRO,FE EN EL PERÚ,15
AMAZONAS,BONGARÁ,ANTONIO ORTIZ VILLANO,SALVEMOS AL PERÚ,15
AMAZONAS,BONGARÁ,RAFAEL JORGE BELAUNDE LLOSA,LIBERTAD POPULAR,13
AMAZONAS,BONGARÁ,WALTER GILMER CHIRINOS PURIZAGA,PARTIDO POLÍTICO PRIN,10
AMAZONAS,BONGARÁ,NAPOLEON BECERRA GARCIA,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,4
AMAZONAS,BONGARÁ,CARLOS ERNESTO JAICO CARRANZA,PERÚ MODERNO,2
AMAZONAS,CHACHAPOYAS,KEIKO SOFIA FUJIMORI HIGUCHI,FUERZA POPULAR,4251
AMAZONAS,CHACHAPOYAS,,VOTOS EN BLANCO,4085
AMAZONAS,CHACHAPOYAS,ROBERTO HELBERT SANCHEZ PALOMINO,JUNTOS POR EL PERÚ,3893
AMAZONAS,CHACHAPOYAS,RICARDO PABLO BELMONT CASSINELLI,PARTIDO CÍVICO OBRAS,2735
AMAZONAS,CHACHAPOYAS,PABLO ALFONSO LOPEZ CHAU NAVA,AHORA NACIÓN - AN,2553
AMAZONAS,CHACHAPOYAS,JORGE NIETO MONTESINOS,PARTIDO DEL BUEN GOBIERNO,2124
AMAZONAS,CHACHAPOYAS,,VOTOS NULOS,1946
AMAZONAS,CHACHAPOYAS,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,RENOVACIÓN POPULAR,1482
AMAZONAS,CHACHAPOYAS,MARIA SOLEDAD PEREZ TELLO,"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",1014
AMAZONAS,CHACHAPOYAS,CARLOS GONSALO ALVAREZ LOAYZA,PARTIDO PAÍS PARA TODOS,786
AMAZONAS,CHACHAPOYAS,GEORGE PATRICK FORSYTH SOMMER,PARTIDO DEMOCRÁTICO SOMOS PERÚ,732
