departamento,provincia,candidato,partido,votos,avance_pct,votos_estimados,votos_restantes,total_region,pct_region_actual,pct_region_proyectado
AMAZONAS,BAGUA,FIORELLA GIANNINA MOLINELLI ARISTONDO,FUERZA Y LIBERTAD,40,94.4,42.3728813559322,2.3728813559322006,215517.0175998866,0.018560019271545936,0.019661037363925778
AMAZONAS,BAGUA,ALVARO GONZALO PAZ DE LA BARRA FREIGEIRO,FE EN EL PERÚ,36,94.4,38.13559322033898,2.1355932203389827,215517.0175998866,0.016704017344391343,0.017694933627533202
AMAZONAS,BAGUA,ANTONIO ORTIZ VILLANO,SALVEMOS AL PERÚ,33,94.4,34.95762711864406,1.9576271186440621,215517.0175998866,0.015312015899025398,0.016220355825238765
AMAZONAS,BAGUA,RAFAEL JORGE BELAUNDE LLOSA,LIBERTAD POPULAR,28,94.4,29.66101694915254,1.6610169491525397,215517.0175998866,0.012992013490082156,0.013762726154748045
AMAZONAS,BAGUA,JOSE DANIEL WILLIAMS ZAPATA,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,22,94.4,23.30508474576271,1.3050847457627093,215517.0175998866,0.010208010599350264,0.010813570550159178
AMAZONAS,BAGUA,NAPOLEON BECERRA GARCIA,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,22,94.4,23.30508474576271,1.3050847457627093,215517.0175998866,0.010208010599350264,0.010813570550159178
AMAZONAS,BAGUA,WALTER GILMER CHIRINOS PURIZAGA,PARTIDO POLÍTICO PRIN,15,94.4,15.889830508474576,0.8898305084745761,215517.0175998866,0.006960007226829726,0.0073728890114721675
AMAZONAS,BAGUA,CARLOS ERNESTO JAICO CARRANZA,PERÚ MODERNO,9,94.4,9.533898305084746,0.5338983050847457,215517.0175998866,0.004176004336097836,0.0044237334068833005
AMAZONAS,BONGARÁ,ROBERTO HELBERT SANCHEZ PALOMINO,JUNTOS POR EL PERÚ,3180,100.0,3180.0,0.0,215517.0175998866,1.475521532087902,1.475521532087902
AMAZONAS,BONGARÁ,KEIKO SOFIA FUJIMORI HIGUCHI,FUERZA POPULAR,2739,100.0,2739.0,0.0,215517.0175998866,1.270897319619108,1.270897319619108
AMAZONAS,BONGARÁ,,VOTOS EN BLANCO,2548,100.0,2548.0,0.0,215517.0175998866,1.182273227597476,1.182273227597476
AMAZONAS,BONGARÁ,RICARDO PABLO BELMONT CASSINELLI,PARTIDO CÍVICO OBRAS,1445,100.0,1445.0,0.0,215517.0175998866,0.6704806961845969,0.6704806961845969
AMAZONAS,BONGARÁ,,VOTOS NULOS,1225,100.0,1225.0,0.0,215517.0175998866,0.5684005901910943,0.5684005901910943
AMAZONAS,BONGARÁ,PABLO ALFONSO LOPEZ CHAU NAVA,AHORA NACIÓN - AN,841,100.0,841.0,0.0,215517.0175998866,0.3902244051842533,0.3902244051842533
AMAZONAS,BONGARÁ,JORGE NIETO MONTESINOS,PARTIDO DEL BUEN GOBIERNO,561,100.0,561.0,0.0,215517.0175998866,0.2603042702834317,0.2603042702834317
AMAZONAS,BONGARÁ,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,RENOVACIÓN POPULAR,380,100.0,380.0,0.0,215517.0175998866,0.1763201830796864,0.1763201830796864
AMAZONAS,BONGARÁ,CARLOS GONSALO ALVAREZ LOAYZA,PARTIDO PAÍS PARA TODOS,282,100.0,282.0,0.0,215517.0175998866,0.13084813586439883,0.13084813586439883
AMAZONAS,BONGARÁ,CESAR ACUÑA PERALTA,ALIANZA PARA EL PROGRESO,233,100.0,233.0,0.0,215517.0175998866,0.10811211225675507,0.10811211225675507
AMAZONAS,BONGARÁ,JOSE LEON LUNA GALVEZ,PODEMOS PERÚ,202,100.0,202.0,0.0,215517.0175998866,0.09372809732130698,0.09372809732130698
AMAZONAS,BONGARÁ,ALFONSO CARLOS ESPA Y GARCES-ALVEAR,PARTIDO SICREO,188,100.0,188.0,0.0,215517.0175998866,0.0872320905762659,0.0872320905762659
AMAZONAS,BONGARÁ,MARIA SOLEDAD PEREZ TELLO,"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",177,100.0,177.0,0.0,215517.0175998866,0.08212808527659077,0.08212808527659077
AMAZONAS,BONGARÁ,RONALD DARWIN ATENCIO SOTOMAYOR,ALIANZA ELECTORAL VENCEREMOS,142,100.0,142.0,0.0,215517.0175998866,0.06588806841398807,0.06588806841398807
