departamento,provincia,candidato,partido,votos,actas_total,actas_procesadas,avance_pct,votos_validos_prov,votos_estimados,votos_restantes
ANCASH,BOLOGNESI,ALFONSO CARLOS ESPA Y GARCES-ALVEAR,PARTIDO SICREO,244,85,84,98.824,10210,246.90358617339916,2.9035861733991624
ANCASH,BOLOGNESI,CESAR ACUÑA PERALTA,ALIANZA PARA EL PROGRESO,196,85,84,98.824,10210,198.33238889338622,2.3323888933862236
ANCASH,BOLOGNESI,ALEX GONZALES CASTILLO,PARTIDO DEMÓCRATA VERDE,195,85,84,98.824,10210,197.3204889500526,2.3204889500526065
ANCASH,BOLOGNESI,MARIA SOLEDAD PEREZ TELLO,"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",143,85,84,98.824,10210,144.70169189670526,1.7016918967052561
ANCASH,BOLOGNESI,CHARLIE CARRASCO SALAZAR,PARTIDO DEMÓCRATA UNIDO PERÚ,104,85,84,98.824,10210,105.23759410669473,1.2375941066947291
ANCASH,BOLOGNESI,HERBERT CALLER GUTIERREZ,PARTIDO PATRIÓTICO DEL PERÚ,94,85,84,98.824,10210,95.1185946733587,1.1185946733587002
ANCASH,BOLOGNESI,RONALD DARWIN ATENCIO SOTOMAYOR,ALIANZA ELECTORAL VENCEREMOS,92,85,84,98.824,10210,93.0947947866915,1.0947947866914944
ANCASH,BOLOGNESI,YONHY LESCANO ANCIETA,PARTIDO POLÍTICO COOPERACIÓN POPULAR,84,85,84,98.824,10210,84.99959524002267,0.9995952400226713
ANCASH,BOLOGNESI,MARIO ENRIQUE VIZCARRA CORNEJO,PARTIDO POLÍTICO PERÚ PRIMERO,71,85,84,98.824,10210,71.84489597668582,0.8448959766858195
ANCASH,BOLOGNESI,VLADIMIR ROY CERRON ROJAS,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,70,85,84,98.824,10210,70.83299603335222,0.8329960333522166
ANCASH,BOLOGNESI,GEORGE PATRICK FORSYTH SOMMER,PARTIDO DEMOCRÁTICO SOMOS PERÚ,70,85,84,98.824,10210,70.83299603335222,0.8329960333522166
ANCASH,BOLOGNESI,PITTER ENRIQUE VALDERRAMA PEÑA,PARTIDO APRISTA PERUANO,67,85,84,98.824,10210,67.79729620335141,0.7972962033514079
ANCASH,BOLOGNESI,PAUL DAVIS JAIMES BLANCO,PROGRESEMOS,47,85,84,98.824,10210,47.55929733667935,0.5592973366793501
ANCASH,BOLOGNESI,ALVARO GONZALO PAZ DE LA BARRA FREIGEIRO,FE EN EL PERÚ,46,85,84,98.824,10210,46.54739739334575,0.5473973933457472
ANCASH,BOLOGNESI,MESIAS ANTONIO GUEVARA AMASIFUEN,PARTIDO MORADO,32,85,84,98.824,10210,32.3807981866753,0.38079818667529963
ANCASH,BOLOGNESI,FRANCISCO ERNESTO DIEZ-CANSECO TÁVARA,PARTIDO POLÍTICO PERÚ ACCIÓN,27,85,84,98.824,10210,27.321298470007285,0.3212984700072852
ANCASH,BOLOGNESI,WOLFGANG MARIO GROZO COSTA,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,23,85,84,98.824,10210,23.273698696672874,0.2736986966728736
ANCASH,BOLOGNESI,RAFAEL JORGE BELAUNDE LLOSA,LIBERTAD POPULAR,23,85,84,98.824,10210,23.273698696672874,0.2736986966728736
ANCASH,BOLOGNESI,ROSARIO DEL PILAR FERNANDEZ BAZAN,UN CAMINO DIFERENTE,19,85,84,98.824,10210,19.22609892333846,0.2260989233384585
ANCASH,BOLOGNESI,ANTONIO ORTIZ VILLANO,SALVEMOS AL PERÚ,18,85,84,98.824,10210,18.214198980004856,0.2141989800048556
ANCASH,BOLOGNESI,FIORELLA GIANNINA MOLINELLI ARISTONDO,FUERZA Y LIBERTAD,15,85,84,98.824,10210,15.178499150004047,0.17849915000404692
ANCASH,BOLOGNESI,ROBERTO ENRIQUE CHIABRA LEON,UNIDAD NACIONAL,15,85,84,98.824,10210,15.178499150004047,0.17849915000404692
ANCASH,BOLOGNESI,ARMANDO JOAQUIN MASSE FERNANDEZ,PARTIDO DEMOCRATICO FEDERAL,13,85,84,98.824,10210,13.154699263336841,0.15469926333684114
ANCASH,BOLOGNESI,NAPOLEON BECERRA GARCIA,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,7,85,84,98.824,10210,7.083299603335222,0.08329960333522202
ANCASH,BOLOGNESI,WALTER GILMER CHIRINOS PURIZAGA,PARTIDO POLÍTICO PRIN,6,85,84,98.824,10210,6.071399660001619,0.07139966000161913
ANCASH,BOLOGNESI,CARLOS ERNESTO JAICO CARRANZA,PERÚ MODERNO,6,85,84,98.824,10210,6.071399660001619,0.07139966000161913
ANCASH,BOLOGNESI,JOSE DANIEL WILLIAMS ZAPATA,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,5,85,84,98.824,10210,5.059499716668016,0.059499716668016234
ANCASH,CARHUAZ,ROBERTO HELBERT SANCHEZ PALOMINO,JUNTOS POR EL PERÚ,6213,149,142,95.302,22378,6519.27556609515,306.27556609514977
ANCASH,CARHUAZ,,VOTOS EN BLANCO,6120,149,142,95.302,22378,6421.6910453085975,301.6910453085975
ANCASH,CARHUAZ,KEIKO SOFIA FUJIMORI HIGUCHI,FUERZA POPULAR,3904,149,142,95.302,22378,4096.4512811903205,192.45128119032051
ANCASH,CARHUAZ,,VOTOS NULOS,2787,149,142,95.302,22378,2924.3877358292584,137.38773582925842
ANCASH,CARHUAZ,RICARDO PABLO BELMONT CASSINELLI,PARTIDO CÍVICO OBRAS,2765,149,142,95.302,22378,2901.303225535665,136.3032255356652
ANCASH,CARHUAZ,PABLO ALFONSO LOPEZ CHAU NAVA,AHORA NACIÓN - AN,2327,149,142,95.302,22378,2441.7116115086774,114.71161150867738
ANCASH,CARHUAZ,CARLOS GONSALO ALVAREZ LOAYZA,PARTIDO PAÍS PARA TODOS,1322,149,142,95.302,22378,1387.1692094604518,65.16920946045184
ANCASH,CARHUAZ,JORGE NIETO MONTESINOS,PARTIDO DEL BUEN GOBIERNO,815,149,142,95.302,22378,855.1761767853769,40.176176785376924
ANCASH,CARHUAZ,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,RENOVACIÓN POPULAR,778,149,142,95.302,22378,816.3522276552433,38.35222765524327
ANCASH,CARHUAZ,JOSE LEON LUNA GALVEZ,PODEMOS PERÚ,642,149,142,95.302,22378,673.6479822039411,31.64798220394107
ANCASH,CARHUAZ,ALFONSO CARLOS ESPA Y GARCES-ALVEAR,PARTIDO SICREO,425,149,142,95.302,22378,445.95076703531925,20.950767035319245
ANCASH,CARHUAZ,CESAR ACUÑA PERALTA,ALIANZA PARA EL PROGRESO,322,149,142,95.302,22378,337.8732870244066,15.87328702440658
ANCASH,CARHUAZ,ALEX GONZALES CASTILLO,PARTIDO DEMÓCRATA VERDE,320,149,142,95.302,22378,335.7746951795345,15.77469517953449
ANCASH,CARHUAZ,LUIS FERNANDO OLIVERA VEGA,PARTIDO FRENTE DE LA ESPERANZA 2021,281,149,142,95.302,22378,294.85215420452874,13.852154204528745
ANCASH,CARHUAZ,MARIA SOLEDAD PEREZ TELLO,"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",276,149,142,95.302,22378,289.6056745923485,13.605674592348521
ANCASH,CARHUAZ,MARIO ENRIQUE VIZCARRA CORNEJO,PARTIDO POLÍTICO PERÚ PRIMERO,226,149,142,95.302,22378,237.14087847054626,11.140878470546255
ANCASH,CARHUAZ,VLADIMIR ROY CERRON ROJAS,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,183,149,142,95.302,22378,192.0211538057963,9.021153805796303
ANCASH,CARHUAZ,HERBERT CALLER GUTIERREZ,PARTIDO PATRIÓTICO DEL PERÚ,181,149,142,95.302,22378,189.9225619609242,8.922561960924213
ANCASH,CARHUAZ,CHARLIE CARRASCO SALAZAR,PARTIDO DEMÓCRATA UNIDO PERÚ,166,149,142,95.302,22378,174.1831231243835,8.183123124383513
ANCASH,CARHUAZ,RONALD DARWIN ATENCIO SOTOMAYOR,ALIANZA ELECTORAL VENCEREMOS,158,149,142,95.302,22378,165.78875574489516,7.788755744895155
ANCASH,CARHUAZ,GEORGE PATRICK FORSYTH SOMMER,PARTIDO DEMOCRÁTICO SOMOS PERÚ,138,149,142,95.302,22378,144.80283729617426,6.8028372961742605
ANCASH,CARHUAZ,PITTER ENRIQUE VALDERRAMA PEÑA,PARTIDO APRISTA PERUANO,122,149,142,95.302,22378,128.01410253719752,6.014102537197516
ANCASH,CARHUAZ,YONHY LESCANO ANCIETA,PARTIDO POLÍTICO COOPERACIÓN POPULAR,110,149,142,95.302,22378,115.42255146796498,5.422551467964979
ANCASH,CARHUAZ,PAUL DAVIS JAIMES BLANCO,PROGRESEMOS,106,149,142,95.302,22378,111.2253677782208,5.2253677782208
ANCASH,CARHUAZ,MESIAS ANTONIO GUEVARA AMASIFUEN,PARTIDO MORADO,72,149,142,95.302,22378,75.54930641539526,3.5493064153952645
ANCASH,CARHUAZ,ALVARO GONZALO PAZ DE LA BARRA FREIGEIRO,FE EN EL PERÚ,66,149,142,95.302,22378,69.253530880779,3.253530880778996
ANCASH,CARHUAZ,RAFAEL JORGE BELAUNDE LLOSA,LIBERTAD POPULAR,66,149,142,95.302,22378,69.253530880779,3.253530880778996
ANCASH,CARHUAZ,ROSARIO DEL PILAR FERNANDEZ BAZAN,UN CAMINO DIFERENTE,57,149,142,95.302,22378,59.809867578854586,2.809867578854586
ANCASH,CARHUAZ,ANTONIO ORTIZ VILLANO,SALVEMOS AL PERÚ,53,149,142,95.302,22378,55.6126838891104,2.6126838891104
ANCASH,CARHUAZ,JOSE DANIEL WILLIAMS ZAPATA,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,49,149,142,95.302,22378,51.41550019936622,2.415500199366221
ANCASH,CARHUAZ,FIORELLA GIANNINA MOLINELLI ARISTONDO,FUERZA Y LIBERTAD,47,149,142,95.302,22378,49.31690835449413,2.3169083544941316
ANCASH,CARHUAZ,WOLFGANG MARIO GROZO COSTA,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,46,149,142,95.302,22378,48.26761243205809,2.267612432058087
ANCASH,CARHUAZ,FRANCISCO ERNESTO DIEZ-CANSECO TÁVARA,PARTIDO POLÍTICO PERÚ ACCIÓN,40,149,142,95.302,22378,41.97183689744181,1.9718368974418112
ANCASH,CARHUAZ,ARMANDO JOAQUIN MASSE FERNANDEZ,PARTIDO DEMOCRATICO FEDERAL,36,149,142,95.302,22378,37.77465320769763,1.7746532076976322
ANCASH,CARHUAZ,WALTER GILMER CHIRINOS PURIZAGA,PARTIDO POLÍTICO PRIN,21,149,142,95.302,22378,22.03521437115695,1.0352143711569504
ANCASH,CARHUAZ,ROBERTO ENRIQUE CHIABRA LEON,UNIDAD NACIONAL,21,149,142,95.302,22378,22.03521437115695,1.0352143711569504
ANCASH,CARHUAZ,NAPOLEON BECERRA GARCIA,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,13,149,142,95.302,22378,13.640846991668589,0.6408469916685888
ANCASH,CARHUAZ,CARLOS ERNESTO JAICO CARRANZA,PERÚ MODERNO,11,149,142,95.302,22378,11.5422551467965,0.5422551467964993
ANCASH,CARLOS FERMÍN FITZCARRALD,ROBERTO HELBERT SANCHEZ PALOMINO,JUNTOS POR EL PERÚ,2184,57,50,87.719,5342,2489.768465212782,305.76846521278185
ANCASH,CARLOS FERMÍN FITZCARRALD,,VOTOS EN BLANCO,1834,57,50,87.719,5342,2090.7671086081696,256.76710860816956
ANCASH,CARLOS FERMÍN FITZCARRALD,RICARDO PABLO BELMONT CASSINELLI,PARTIDO CÍVICO OBRAS,708,57,50,87.719,5342,807.1227442173304,99.12274421733036
ANCASH,CARLOS FERMÍN FITZCARRALD,,VOTOS NULOS,667,57,50,87.719,5342,760.3825853007901,93.38258530079008
ANCASH,CARLOS FERMÍN FITZCARRALD,KEIKO SOFIA FUJIMORI HIGUCHI,FUERZA POPULAR,421,57,50,87.719,5342,479.94163180154817,58.94163180154817
ANCASH,CARLOS FERMÍN FITZCARRALD,PABLO ALFONSO LOPEZ CHAU NAVA,AHORA NACIÓN - AN,378,57,50,87.719,5342,430.9214651329815,52.921465132981496
ANCASH,CARLOS FERMÍN FITZCARRALD,JOSE LEON LUNA GALVEZ,PODEMOS PERÚ,268,57,50,87.719,5342,305.52103877153183,37.521038771531835
ANCASH,CARLOS FERMÍN FITZCARRALD,CARLOS GONSALO ALVAREZ LOAYZA,PARTIDO PAÍS PARA TODOS,258,57,50,87.719,5342,294.12100001140004,36.12100001140004
ANCASH,CARLOS FERMÍN FITZCARRALD,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,RENOVACIÓN POPULAR,185,57,50,87.719,5342,210.90071706243802,25.90071706243802
ANCASH,CARLOS FERMÍN FITZCARRALD,JORGE NIETO MONTESINOS,PARTIDO DEL BUEN GOBIERNO,139,57,50,87.719,5342,158.4605387658318,19.460538765831814
ANCASH,CARLOS FERMÍN FITZCARRALD,CHARLIE CARRASCO SALAZAR,PARTIDO DEMÓCRATA UNIDO PERÚ,107,57,50,87.719,5342,121.9804147334101,14.9804147334101
ANCASH,CARLOS FERMÍN FITZCARRALD,CESAR ACUÑA PERALTA,ALIANZA PARA EL PROGRESO,60,57,50,87.719,5342,68.40023256079071,8.400232560790712
ANCASH,CARLOS FERMÍN FITZCARRALD,ALEX GONZALES CASTILLO,PARTIDO DEMÓCRATA VERDE,57,57,50,87.719,5342,64.98022093275118,7.98022093275118
ANCASH,CARLOS FERMÍN FITZCARRALD,PAUL DAVIS JAIMES BLANCO,PROGRESEMOS,54,57,50,87.719,5342,61.56020930471164,7.560209304711641
ANCASH,CARLOS FERMÍN FITZCARRALD,VLADIMIR ROY CERRON ROJAS,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,50,57,50,87.719,5342,57.00019380065893,7.000193800658927
ANCASH,CARLOS FERMÍN FITZCARRALD,HERBERT CALLER GUTIERREZ,PARTIDO PATRIÓTICO DEL PERÚ,47,57,50,87.719,5342,53.580182172619395,6.580182172619395
ANCASH,CARLOS FERMÍN FITZCARRALD,LUIS FERNANDO OLIVERA VEGA,PARTIDO FRENTE DE LA ESPERANZA 2021,46,57,50,87.719,5342,52.44017829660621,6.440178296606213
ANCASH,CARLOS FERMÍN FITZCARRALD,ALFONSO CARLOS ESPA Y GARCES-ALVEAR,PARTIDO SICREO,42,57,50,87.719,5342,47.8801627925535,5.880162792553499
ANCASH,CARLOS FERMÍN FITZCARRALD,MARIA SOLEDAD PEREZ TELLO,"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",37,57,50,87.719,5342,42.18014341248761,5.18014341248761
ANCASH,CARLOS FERMÍN FITZCARRALD,MARIO ENRIQUE VIZCARRA CORNEJO,PARTIDO POLÍTICO PERÚ PRIMERO,37,57,50,87.719,5342,42.18014341248761,5.18014341248761
ANCASH,CARLOS FERMÍN FITZCARRALD,RONALD DARWIN ATENCIO SOTOMAYOR,ALIANZA ELECTORAL VENCEREMOS,31,57,50,87.719,5342,35.34012015640854,4.340120156408538
ANCASH,CARLOS FERMÍN FITZCARRALD,GEORGE PATRICK FORSYTH SOMMER,PARTIDO DEMOCRÁTICO SOMOS PERÚ,29,57,50,87.719,5342,33.06011240438218,4.060112404382181
ANCASH,CARLOS FERMÍN FITZCARRALD,YONHY LESCANO ANCIETA,PARTIDO POLÍTICO COOPERACIÓN POPULAR,28,57,50,87.719,5342,31.920108528369,3.920108528368999
ANCASH,CARLOS FERMÍN FITZCARRALD,ALVARO GONZALO PAZ DE LA BARRA FREIGEIRO,FE EN EL PERÚ,27,57,50,87.719,5342,30.78010465235582,3.7801046523558206
ANCASH,CARLOS FERMÍN FITZCARRALD,WOLFGANG MARIO GROZO COSTA,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,21,57,50,87.719,5342,23.94008139627675,2.9400813962767494
ANCASH,CARLOS FERMÍN FITZCARRALD,FRANCISCO ERNESTO DIEZ-CANSECO TÁVARA,PARTIDO POLÍTICO PERÚ ACCIÓN,19,57,50,87.719,5342,21.660073644250392,2.6600736442503923
ANCASH,CARLOS FERMÍN FITZCARRALD,ARMANDO JOAQUIN MASSE FERNANDEZ,PARTIDO DEMOCRATICO FEDERAL,16,57,50,87.719,5342,18.240062016210857,2.2400620162108567
ANCASH,CARLOS FERMÍN FITZCARRALD,RAFAEL JORGE BELAUNDE LLOSA,LIBERTAD POPULAR,16,57,50,87.719,5342,18.240062016210857,2.2400620162108567
ANCASH,CARLOS FERMÍN FITZCARRALD,PITTER ENRIQUE VALDERRAMA PEÑA,PARTIDO APRISTA PERUANO,16,57,50,87.719,5342,18.240062016210857,2.2400620162108567
ANCASH,CARLOS FERMÍN FITZCARRALD,ANTONIO ORTIZ VILLANO,SALVEMOS AL PERÚ,15,57,50,87.719,5342,17.100058140197678,2.100058140197678
ANCASH,CARLOS FERMÍN FITZCARRALD,MESIAS ANTONIO GUEVARA AMASIFUEN,PARTIDO MORADO,13,57,50,87.719,5342,14.820050388171321,1.820050388171321
ANCASH,CARLOS FERMÍN FITZCARRALD,ROSARIO DEL PILAR FERNANDEZ BAZAN,UN CAMINO DIFERENTE,10,57,50,87.719,5342,11.400038760131785,1.4000387601317854
ANCASH,CARLOS FERMÍN FITZCARRALD,WALTER GILMER CHIRINOS PURIZAGA,PARTIDO POLÍTICO PRIN,6,57,50,87.719,5342,6.840023256079071,0.8400232560790712
ANCASH,CARLOS FERMÍN FITZCARRALD,FIORELLA GIANNINA MOLINELLI ARISTONDO,FUERZA Y LIBERTAD,5,57,50,87.719,5342,5.700019380065893,0.7000193800658927
ANCASH,CARLOS FERMÍN FITZCARRALD,JOSE DANIEL WILLIAMS ZAPATA,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,4,57,50,87.719,5342,4.560015504052714,0.5600155040527142
ANCASH,CARLOS FERMÍN FITZCARRALD,CARLOS ERNESTO JAICO CARRANZA,PERÚ MODERNO,4,57,50,87.719,5342,4.560015504052714,0.5600155040527142
ANCASH,CARLOS FERMÍN FITZCARRALD,NAPOLEON BECERRA GARCIA,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,2,57,50,87.719,5342,2.280007752026357,0.2800077520263571
ANCASH,CARLOS FERMÍN FITZCARRALD,ROBERTO ENRIQUE CHIABRA LEON,UNIDAD NACIONAL,2,57,50,87.719,5342,2.280007752026357,0.2800077520263571
ANCASH,CASMA,KEIKO SOFIA FUJIMORI HIGUCHI,FUERZA POPULAR,4988,143,94,65.734,16638,7588.1583351081645,2600.1583351081645
ANCASH,CASMA,,VOTOS EN BLANCO,3487,143,94,65.734,16638,5304.712933945903,1817.7129339459034
ANCASH,CASMA,ROBERTO HELBERT SANCHEZ PALOMINO,JUNTOS POR EL PERÚ,1759,143,94,65.734,16638,2675.936349529924,916.936349529924
ANCASH,CASMA,CARLOS GONSALO ALVAREZ LOAYZA,PARTIDO PAÍS PARA TODOS,1664,143,94,65.734,16638,2531.4144886968693,867.4144886968693
ANCASH,CASMA,,VOTOS NULOS,1432,143,94,65.734,16638,2178.4768917150946,746.4768917150946
ANCASH,CASMA,RICARDO PABLO BELMONT CASSINELLI,PARTIDO CÍVICO OBRAS,1349,143,94,65.734,16638,2052.210423829373,703.2104238293732
ANCASH,CASMA,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,RENOVACIÓN POPULAR,1291,143,94,65.734,16638,1963.9760245839293,672.9760245839293
ANCASH,CASMA,JORGE NIETO MONTESINOS,PARTIDO DEL BUEN GOBIERNO,844,143,94,65.734,16638,1283.962637295768,439.962637295768
ANCASH,CASMA,JOSE LEON LUNA GALVEZ,PODEMOS PERÚ,795,143,94,65.734,16638,1209.419782760824,414.4197827608241
ANCASH,CASMA,PABLO ALFONSO LOPEZ CHAU NAVA,AHORA NACIÓN - AN,653,143,94,65.734,16638,993.397632884048,340.397632884048
ANCASH,CASMA,PITTER ENRIQUE VALDERRAMA PEÑA,PARTIDO APRISTA PERUANO,440,143,94,65.734,16638,669.3644080688838,229.3644080688838
ANCASH,CASMA,ALFONSO CARLOS ESPA Y GARCES-ALVEAR,PARTIDO SICREO,415,143,94,65.734,16638,631.3323394286062,216.33233942860625
ANCASH,CASMA,GEORGE PATRICK FORSYTH SOMMER,PARTIDO DEMOCRÁTICO SOMOS PERÚ,410,143,94,65.734,16638,623.7259257005508,213.72592570055076
ANCASH,CASMA,MARIA SOLEDAD PEREZ TELLO,"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",338,143,94,65.734,16638,514.1935680165516,176.19356801655158
ANCASH,CASMA,LUIS FERNANDO OLIVERA VEGA,PARTIDO FRENTE DE LA ESPERANZA 2021,218,143,94,65.734,16638,331.6396385432197,113.63963854321969
ANCASH,CASMA,CESAR ACUÑA PERALTA,ALIANZA PARA EL PROGRESO,210,143,94,65.734,16638,319.46937657833087,109.46937657833087
ANCASH,CASMA,MARIO ENRIQUE VIZCARRA CORNEJO,PARTIDO POLÍTICO PERÚ PRIMERO,136,143,94,65.734,16638,206.89445340310954,70.89445340310954
ANCASH,CASMA,ROSARIO DEL PILAR FERNANDEZ BAZAN,UN CAMINO DIFERENTE,132,143,94,65.734,16638,200.80932242066513,68.80932242066513
ANCASH,CASMA,HERBERT CALLER GUTIERREZ,PARTIDO PATRIÓTICO DEL PERÚ,125,143,94,65.734,16638,190.16034320138743,65.16034320138743
ANCASH,CASMA,YONHY LESCANO ANCIETA,PARTIDO POLÍTICO COOPERACIÓN POPULAR,117,143,94,65.734,16638,177.99008123649864,60.99008123649864
ANCASH,CASMA,CHARLIE CARRASCO SALAZAR,PARTIDO DEMÓCRATA UNIDO PERÚ,99,143,94,65.734,16638,150.60699181549884,51.606991815498844
ANCASH,CASMA,RONALD DARWIN ATENCIO SOTOMAYOR,ALIANZA ELECTORAL VENCEREMOS,98,143,94,65.734,16638,149.08570906988774,51.08570906988774
ANCASH,CASMA,ALEX GONZALES CASTILLO,PARTIDO DEMÓCRATA VERDE,98,143,94,65.734,16638,149.08570906988774,51.08570906988774
ANCASH,CASMA,VLADIMIR ROY CERRON ROJAS,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,87,143,94,65.734,16638,132.35159886816567,45.35159886816567
ANCASH,CASMA,PAUL DAVIS JAIMES BLANCO,PROGRESEMOS,51,143,94,65.734,16638,77.58542002616608,26.585420026166076
ANCASH,CASMA,WOLFGANG MARIO GROZO COSTA,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,47,143,94,65.734,16638,71.50028904372168,24.50028904372168
ANCASH,CASMA,RAFAEL JORGE BELAUNDE LLOSA,LIBERTAD POPULAR,37,143,94,65.734,16638,56.28746158761068,19.28746158761068
ANCASH,CASMA,MESIAS ANTONIO GUEVARA AMASIFUEN,PARTIDO MORADO,35,143,94,65.734,16638,53.24489609638848,18.24489609638848
ANCASH,CASMA,FRANCISCO ERNESTO DIEZ-CANSECO TÁVARA,PARTIDO POLÍTICO PERÚ ACCIÓN,33,143,94,65.734,16638,50.20233060516628,17.20233060516628
ANCASH,CASMA,ROBERTO ENRIQUE CHIABRA LEON,UNIDAD NACIONAL,31,143,94,65.734,16638,47.15976511394408,16.159765113944083
ANCASH,CASMA,ARMANDO JOAQUIN MASSE FERNANDEZ,PARTIDO DEMOCRATICO FEDERAL,30,143,94,65.734,16638,45.63848236833299,15.638482368332987
ANCASH,CASMA,ALVARO GONZALO PAZ DE LA BARRA FREIGEIRO,FE EN EL PERÚ,30,143,94,65.734,16638,45.63848236833299,15.638482368332987
ANCASH,CASMA,ANTONIO ORTIZ VILLANO,SALVEMOS AL PERÚ,22,143,94,65.734,16638,33.468220403444185,11.468220403444185
ANCASH,CASMA,FIORELLA GIANNINA MOLINELLI ARISTONDO,FUERZA Y LIBERTAD,21,143,94,65.734,16638,31.94693765783309,10.94693765783309
ANCASH,CASMA,JOSE DANIEL WILLIAMS ZAPATA,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,20,143,94,65.734,16638,30.42565491222199,10.42565491222199
ANCASH,CASMA,WALTER GILMER CHIRINOS PURIZAGA,PARTIDO POLÍTICO PRIN,10,143,94,65.734,16638,15.212827456110995,5.212827456110995
ANCASH,CASMA,NAPOLEON BECERRA GARCIA,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,3,143,94,65.734,16638,4.563848236833298,1.563848236833298
ANCASH,CASMA,CARLOS ERNESTO JAICO CARRANZA,PERÚ MODERNO,2,143,94,65.734,16638,3.042565491222199,1.042565491222199
ANCASH,CORONGO,,VOTOS EN BLANCO,711,27,26,96.296,2835,738.3484256874636,27.348425687463646
ANCASH,CORONGO,ROBERTO HELBERT SANCHEZ PALOMINO,JUNTOS POR EL PERÚ,576,27,26,96.296,2835,598.155686632882,22.155686632881952
ANCASH,CORONGO,KEIKO SOFIA FUJIMORI HIGUCHI,FUERZA POPULAR,533,27,26,96.296,2835,553.5017030821633,20.501703082163317
ANCASH,CORONGO,GEORGE PATRICK FORSYTH SOMMER,PARTIDO DEMOCRÁTICO SOMOS PERÚ,477,27,26,96.296,2835,495.3476779928553,18.347677992855324
ANCASH,CORONGO,,VOTOS NULOS,253,27,26,96.296,2835,262.73157763562347,9.731577635623466
ANCASH,CORONGO,RICARDO PABLO BELMONT CASSINELLI,PARTIDO CÍVICO OBRAS,247,27,26,96.296,2835,256.5007892331976,9.500789233197622
ANCASH,CORONGO,PABLO ALFONSO LOPEZ CHAU NAVA,AHORA NACIÓN - AN,214,27,26,96.296,2835,222.23145301985545,8.23145301985545
ANCASH,CORONGO,JOSE LEON LUNA GALVEZ,PODEMOS PERÚ,173,27,26,96.296,2835,179.6543989366121,6.654398936612097
ANCASH,CORONGO,CARLOS GONSALO ALVAREZ LOAYZA,PARTIDO PAÍS PARA TODOS,132,27,26,96.296,2835,137.07734485336877,5.077344853368771
ANCASH,CORONGO,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,RENOVACIÓN POPULAR,100,27,26,96.296,2835,103.84647337376423,3.8464733737642263
ANCASH,CORONGO,LUIS FERNANDO OLIVERA VEGA,PARTIDO FRENTE DE LA ESPERANZA 2021,80,27,26,96.296,2835,83.07717869901138,3.077178699011384
ANCASH,CORONGO,JORGE NIETO MONTESINOS,PARTIDO DEL BUEN GOBIERNO,61,27,26,96.296,2835,63.346348757996175,2.346348757996175
ANCASH,CORONGO,ALEX GONZALES CASTILLO,PARTIDO DEMÓCRATA VERDE,56,27,26,96.296,2835,58.154025089307964,2.1540250893079644
ANCASH,CORONGO,CHARLIE CARRASCO SALAZAR,PARTIDO DEMÓCRATA UNIDO PERÚ,23,27,26,96.296,2835,23.88468887596577,0.8846888759657716
ANCASH,CORONGO,HERBERT CALLER GUTIERREZ,PARTIDO PATRIÓTICO DEL PERÚ,17,27,26,96.296,2835,17.653900473539917,0.6539004735399168
ANCASH,CORONGO,ALFONSO CARLOS ESPA Y GARCES-ALVEAR,PARTIDO SICREO,17,27,26,96.296,2835,17.653900473539917,0.6539004735399168
ANCASH,CORONGO,PITTER ENRIQUE VALDERRAMA PEÑA,PARTIDO APRISTA PERUANO,17,27,26,96.296,2835,17.653900473539917,0.6539004735399168
ANCASH,CORONGO,RONALD DARWIN ATENCIO SOTOMAYOR,ALIANZA ELECTORAL VENCEREMOS,14,27,26,96.296,2835,14.538506272326991,0.5385062723269911
