departamento,provincia,candidato,partido,votos,actas_total,actas_procesadas,avance_pct,votos_validos_prov
AMAZONAS,BONGARÁ,CARLOS GONSALO ALVAREZ LOAYZA,PARTIDO PAÍS PARA TODOS,282,84,84,100.0,11441
AMAZONAS,BONGARÁ,CESAR ACUÑA PERALTA,ALIANZA PARA EL PROGRESO,233,84,84,100.0,11441
AMAZONAS,BONGARÁ,JOSE LEON LUNA GALVEZ,PODEMOS PERÚ,202,84,84,100.0,11441
AMAZONAS,BONGARÁ,ALFONSO CARLOS ESPA Y GARCES-ALVEAR,PARTIDO SICREO,188,84,84,100.0,11441
AMAZONAS,BONGARÁ,MARIA SOLEDAD PEREZ TELLO,"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",177,84,84,100.0,11441
AMAZONAS,BONGARÁ,RONALD DARWIN ATENCIO SOTOMAYOR,ALIANZA ELECTORAL VENCEREMOS,142,84,84,100.0,11441
AMAZONAS,BONGARÁ,GEORGE PATRICK FORSYTH SOMMER,PARTIDO DEMOCRÁTICO SOMOS PERÚ,142,84,84,100.0,11441
AMAZONAS,BONGARÁ,HERBERT CALLER GUTIERREZ,PARTIDO PATRIÓTICO DEL PERÚ,127,84,84,100.0,11441
AMAZONAS,BONGARÁ,VLADIMIR ROY CERRON ROJAS,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,120,84,84,100.0,11441
AMAZONAS,BONGARÁ,LUIS FERNANDO OLIVERA VEGA,PARTIDO FRENTE DE LA ESPERANZA 2021,107,84,84,100.0,11441
AMAZONAS,BONGARÁ,CHARLIE CARRASCO SALAZAR,PARTIDO DEMÓCRATA UNIDO PERÚ,63,84,84,100.0,11441
AMAZONAS,BONGARÁ,ALEX GONZALES CASTILLO,PARTIDO DEMÓCRATA VERDE,57,84,84,100.0,11441
AMAZONAS,BONGARÁ,ROSARIO DEL PILAR FERNANDEZ BAZAN,UN CAMINO DIFERENTE,53,84,84,100.0,11441
AMAZONAS,BONGARÁ,PITTER ENRIQUE VALDERRAMA PEÑA,PARTIDO APRISTA PERUANO,52,84,84,100.0,11441
AMAZONAS,BONGARÁ,YONHY LESCANO ANCIETA,PARTIDO POLÍTICO COOPERACIÓN POPULAR,49,84,84,100.0,11441
AMAZONAS,BONGARÁ,MARIO ENRIQUE VIZCARRA CORNEJO,PARTIDO POLÍTICO PERÚ PRIMERO,49,84,84,100.0,11441
