departamento,provincia,candidato,partido,votos,actas_total,actas_procesadas,avance_pct,votos_validos_prov
AYACUCHO,VILCAS HUAMÁN,NAPOLEON BECERRA GARCIA,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,0,72,8,11.111,811
AYACUCHO,VILCAS HUAMÁN,ROBERTO ENRIQUE CHIABRA LEON,UNIDAD NACIONAL,0,72,8,11.111,811
AYACUCHO,VILCAS HUAMÁN,MESIAS ANTONIO GUEVARA AMASIFUEN,PARTIDO MORADO,0,72,8,11.111,811
CAJAMARCA,CAJABAMBA,RONALD DARWIN ATENCIO SOTOMAYOR,ALIANZA ELECTORAL VENCEREMOS,0,220,0,0.0,0
CAJAMARCA,CAJABAMBA,HERBERT CALLER GUTIERREZ,PARTIDO PATRIÓTICO DEL PERÚ,0,220,0,0.0,0
CAJAMARCA,CAJABAMBA,RICARDO PABLO BELMONT CASSINELLI,PARTIDO CÍVICO OBRAS,0,220,0,0.0,0
CAJAMARCA,CAJABAMBA,ALEX GONZALES CASTILLO,PARTIDO DEMÓCRATA VERDE,0,220,0,0.0,0
CAJAMARCA,CAJABAMBA,JORGE NIETO MONTESINOS,PARTIDO DEL BUEN GOBIERNO,0,220,0,0.0,0
CAJAMARCA,CAJABAMBA,FRANCISCO ERNESTO DIEZ-CANSECO TÁVARA,PARTIDO POLÍTICO PERÚ ACCIÓN,0,220,0,0.0,0
CAJAMARCA,CAJABAMBA,WALTER GILMER CHIRINOS PURIZAGA,PARTIDO POLÍTICO PRIN,0,220,0,0.0,0
CAJAMARCA,CAJABAMBA,PAUL DAVIS JAIMES BLANCO,PROGRESEMOS,0,220,0,0.0,0
CAJAMARCA,CAJABAMBA,ALFONSO CARLOS ESPA Y GARCES-ALVEAR,PARTIDO SICREO,0,220,0,0.0,0
CAJAMARCA,CAJABAMBA,CARLOS GONSALO ALVAREZ LOAYZA,PARTIDO PAÍS PARA TODOS,0,220,0,0.0,0
CAJAMARCA,CAJABAMBA,LUIS FERNANDO OLIVERA VEGA,PARTIDO FRENTE DE LA ESPERANZA 2021,0,220,0,0.0,0
CAJAMARCA,CAJABAMBA,VLADIMIR ROY CERRON ROJAS,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,0,220,0,0.0,0
CAJAMARCA,CAJABAMBA,MARIA SOLEDAD PEREZ TELLO,"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",0,220,0,0.0,0
CAJAMARCA,CAJABAMBA,ROBERTO HELBERT SANCHEZ PALOMINO,JUNTOS POR EL PERÚ,0,220,0,0.0,0
CAJAMARCA,CAJABAMBA,JOSE LEON LUNA GALVEZ,PODEMOS PERÚ,0,220,0,0.0,0
CAJAMARCA,CAJABAMBA,ARMANDO JOAQUIN MASSE FERNANDEZ,PARTIDO DEMOCRATICO FEDERAL,0,220,0,0.0,0
CAJAMARCA,CAJABAMBA,ALVARO GONZALO PAZ DE LA BARRA FREIGEIRO,FE EN EL PERÚ,0,220,0,0.0,0
CAJAMARCA,CAJABAMBA,WOLFGANG MARIO GROZO COSTA,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,0,220,0,0.0,0
CAJAMARCA,CAJABAMBA,KEIKO SOFIA FUJIMORI HIGUCHI,FUERZA POPULAR,0,220,0,0.0,0
CAJAMARCA,CAJABAMBA,CESAR ACUÑA PERALTA,ALIANZA PARA EL PROGRESO,0,220,0,0.0,0
CAJAMARCA,CAJABAMBA,YONHY LESCANO ANCIETA,PARTIDO POLÍTICO COOPERACIÓN POPULAR,0,220,0,0.0,0
CAJAMARCA,CAJABAMBA,PABLO ALFONSO LOPEZ CHAU NAVA,AHORA NACIÓN - AN,0,220,0,0.0,0
CAJAMARCA,CAJABAMBA,RAFAEL JORGE BELAUNDE LLOSA,LIBERTAD POPULAR,0,220,0,0.0,0
CAJAMARCA,CAJABAMBA,ROSARIO DEL PILAR FERNANDEZ BAZAN,UN CAMINO DIFERENTE,0,220,0,0.0,0
CAJAMARCA,CAJABAMBA,JOSE DANIEL WILLIAMS ZAPATA,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,0,220,0,0.0,0
CAJAMARCA,CAJABAMBA,CARLOS ERNESTO JAICO CARRANZA,PERÚ MODERNO,0,220,0,0.0,0
CAJAMARCA,CAJABAMBA,MARIO ENRIQUE VIZCARRA CORNEJO,PARTIDO POLÍTICO PERÚ PRIMERO,0,220,0,0.0,0
CAJAMARCA,CAJABAMBA,ANTONIO ORTIZ VILLANO,SALVEMOS AL PERÚ,0,220,0,0.0,0
CAJAMARCA,CAJABAMBA,GEORGE PATRICK FORSYTH SOMMER,PARTIDO DEMOCRÁTICO SOMOS PERÚ,0,220,0,0.0,0
CAJAMARCA,CAJABAMBA,PITTER ENRIQUE VALDERRAMA PEÑA,PARTIDO APRISTA PERUANO,0,220,0,0.0,0
CAJAMARCA,CAJABAMBA,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,RENOVACIÓN POPULAR,0,220,0,0.0,0
CAJAMARCA,CAJABAMBA,CHARLIE CARRASCO SALAZAR,PARTIDO DEMÓCRATA UNIDO PERÚ,0,220,0,0.0,0
CAJAMARCA,CAJABAMBA,FIORELLA GIANNINA MOLINELLI ARISTONDO,FUERZA Y LIBERTAD,0,220,0,0.0,0
CAJAMARCA,CAJABAMBA,NAPOLEON BECERRA GARCIA,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,0,220,0,0.0,0
CAJAMARCA,CAJABAMBA,ROBERTO ENRIQUE CHIABRA LEON,UNIDAD NACIONAL,0,220,0,0.0,0
CAJAMARCA,CAJABAMBA,MESIAS ANTONIO GUEVARA AMASIFUEN,PARTIDO MORADO,0,220,0,0.0,0
CAJAMARCA,CAJABAMBA,,VOTOS EN BLANCO,0,220,0,0.0,0
CAJAMARCA,CAJABAMBA,,VOTOS NULOS,0,220,0,0.0,0
CAJAMARCA,CAJAMARCA,ROBERTO HELBERT SANCHEZ PALOMINO,JUNTOS POR EL PERÚ,27084,1021,629,61.606,117743
CAJAMARCA,CAJAMARCA,KEIKO SOFIA FUJIMORI HIGUCHI,FUERZA POPULAR,20633,1021,629,61.606,117743
CAJAMARCA,CAJAMARCA,,VOTOS EN BLANCO,18530,1021,629,61.606,117743
CAJAMARCA,CAJAMARCA,RICARDO PABLO BELMONT CASSINELLI,PARTIDO CÍVICO OBRAS,13027,1021,629,61.606,117743
CAJAMARCA,CAJAMARCA,JORGE NIETO MONTESINOS,PARTIDO DEL BUEN GOBIERNO,11248,1021,629,61.606,117743
CAJAMARCA,CAJAMARCA,,VOTOS NULOS,9446,1021,629,61.606,117743
CAJAMARCA,CAJAMARCA,CARLOS GONSALO ALVAREZ LOAYZA,PARTIDO PAÍS PARA TODOS,6803,1021,629,61.606,117743
CAJAMARCA,CAJAMARCA,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,RENOVACIÓN POPULAR,6528,1021,629,61.606,117743
CAJAMARCA,CAJAMARCA,PABLO ALFONSO LOPEZ CHAU NAVA,AHORA NACIÓN - AN,6496,1021,629,61.606,117743
CAJAMARCA,CAJAMARCA,MARIA SOLEDAD PEREZ TELLO,"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",4102,1021,629,61.606,117743
CAJAMARCA,CAJAMARCA,ALFONSO CARLOS ESPA Y GARCES-ALVEAR,PARTIDO SICREO,4010,1021,629,61.606,117743
CAJAMARCA,CAJAMARCA,LUIS FERNANDO OLIVERA VEGA,PARTIDO FRENTE DE LA ESPERANZA 2021,1811,1021,629,61.606,117743
CAJAMARCA,CAJAMARCA,JOSE LEON LUNA GALVEZ,PODEMOS PERÚ,1689,1021,629,61.606,117743
CAJAMARCA,CAJAMARCA,GEORGE PATRICK FORSYTH SOMMER,PARTIDO DEMOCRÁTICO SOMOS PERÚ,1633,1021,629,61.606,117743
CAJAMARCA,CAJAMARCA,CESAR ACUÑA PERALTA,ALIANZA PARA EL PROGRESO,1324,1021,629,61.606,117743
CAJAMARCA,CAJAMARCA,MESIAS ANTONIO GUEVARA AMASIFUEN,PARTIDO MORADO,1161,1021,629,61.606,117743
CAJAMARCA,CAJAMARCA,HERBERT CALLER GUTIERREZ,PARTIDO PATRIÓTICO DEL PERÚ,1078,1021,629,61.606,117743
CAJAMARCA,CAJAMARCA,PITTER ENRIQUE VALDERRAMA PEÑA,PARTIDO APRISTA PERUANO,993,1021,629,61.606,117743
CAJAMARCA,CAJAMARCA,MARIO ENRIQUE VIZCARRA CORNEJO,PARTIDO POLÍTICO PERÚ PRIMERO,932,1021,629,61.606,117743
CAJAMARCA,CAJAMARCA,RAFAEL JORGE BELAUNDE LLOSA,LIBERTAD POPULAR,917,1021,629,61.606,117743
CAJAMARCA,CAJAMARCA,VLADIMIR ROY CERRON ROJAS,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,825,1021,629,61.606,117743
CAJAMARCA,CAJAMARCA,RONALD DARWIN ATENCIO SOTOMAYOR,ALIANZA ELECTORAL VENCEREMOS,604,1021,629,61.606,117743
CAJAMARCA,CAJAMARCA,YONHY LESCANO ANCIETA,PARTIDO POLÍTICO COOPERACIÓN POPULAR,567,1021,629,61.606,117743
CAJAMARCA,CAJAMARCA,ROBERTO ENRIQUE CHIABRA LEON,UNIDAD NACIONAL,562,1021,629,61.606,117743
CAJAMARCA,CAJAMARCA,ALEX GONZALES CASTILLO,PARTIDO DEMÓCRATA VERDE,526,1021,629,61.606,117743
CAJAMARCA,CAJAMARCA,ROSARIO DEL PILAR FERNANDEZ BAZAN,UN CAMINO DIFERENTE,525,1021,629,61.606,117743
CAJAMARCA,CAJAMARCA,CHARLIE CARRASCO SALAZAR,PARTIDO DEMÓCRATA UNIDO PERÚ,457,1021,629,61.606,117743
CAJAMARCA,CAJAMARCA,WOLFGANG MARIO GROZO COSTA,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,435,1021,629,61.606,117743
CAJAMARCA,CAJAMARCA,PAUL DAVIS JAIMES BLANCO,PROGRESEMOS,292,1021,629,61.606,117743
CAJAMARCA,CAJAMARCA,FRANCISCO ERNESTO DIEZ-CANSECO TÁVARA,PARTIDO POLÍTICO PERÚ ACCIÓN,226,1021,629,61.606,117743
CAJAMARCA,CAJAMARCA,JOSE DANIEL WILLIAMS ZAPATA,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,224,1021,629,61.606,117743
CAJAMARCA,CAJAMARCA,ARMANDO JOAQUIN MASSE FERNANDEZ,PARTIDO DEMOCRATICO FEDERAL,219,1021,629,61.606,117743
CAJAMARCA,CAJAMARCA,ANTONIO ORTIZ VILLANO,SALVEMOS AL PERÚ,207,1021,629,61.606,117743
CAJAMARCA,CAJAMARCA,FIORELLA GIANNINA MOLINELLI ARISTONDO,FUERZA Y LIBERTAD,161,1021,629,61.606,117743
CAJAMARCA,CAJAMARCA,ALVARO GONZALO PAZ DE LA BARRA FREIGEIRO,FE EN EL PERÚ,139,1021,629,61.606,117743
CAJAMARCA,CAJAMARCA,NAPOLEON BECERRA GARCIA,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,133,1021,629,61.606,117743
CAJAMARCA,CAJAMARCA,CARLOS ERNESTO JAICO CARRANZA,PERÚ MODERNO,100,1021,629,61.606,117743
CAJAMARCA,CAJAMARCA,WALTER GILMER CHIRINOS PURIZAGA,PARTIDO POLÍTICO PRIN,72,1021,629,61.606,117743
CAJAMARCA,CELENDÍN,ROBERTO HELBERT SANCHEZ PALOMINO,JUNTOS POR EL PERÚ,187,270,2,0.741,260
CAJAMARCA,CELENDÍN,,VOTOS EN BLANCO,63,270,2,0.741,260
CAJAMARCA,CELENDÍN,,VOTOS NULOS,18,270,2,0.741,260
CAJAMARCA,CELENDÍN,RICARDO PABLO BELMONT CASSINELLI,PARTIDO CÍVICO OBRAS,15,270,2,0.741,260
CAJAMARCA,CELENDÍN,JOSE LEON LUNA GALVEZ,PODEMOS PERÚ,11,270,2,0.741,260
CAJAMARCA,CELENDÍN,KEIKO SOFIA FUJIMORI HIGUCHI,FUERZA POPULAR,11,270,2,0.741,260
CAJAMARCA,CELENDÍN,PABLO ALFONSO LOPEZ CHAU NAVA,AHORA NACIÓN - AN,10,270,2,0.741,260
CAJAMARCA,CELENDÍN,ALEX GONZALES CASTILLO,PARTIDO DEMÓCRATA VERDE,3,270,2,0.741,260
CAJAMARCA,CELENDÍN,CARLOS GONSALO ALVAREZ LOAYZA,PARTIDO PAÍS PARA TODOS,3,270,2,0.741,260
CAJAMARCA,CELENDÍN,ALVARO GONZALO PAZ DE LA BARRA FREIGEIRO,FE EN EL PERÚ,3,270,2,0.741,260
CAJAMARCA,CELENDÍN,ANTONIO ORTIZ VILLANO,SALVEMOS AL PERÚ,3,270,2,0.741,260
CAJAMARCA,CELENDÍN,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,RENOVACIÓN POPULAR,3,270,2,0.741,260
CAJAMARCA,CELENDÍN,VLADIMIR ROY CERRON ROJAS,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,2,270,2,0.741,260
CAJAMARCA,CELENDÍN,MARIO ENRIQUE VIZCARRA CORNEJO,PARTIDO POLÍTICO PERÚ PRIMERO,2,270,2,0.741,260
CAJAMARCA,CELENDÍN,HERBERT CALLER GUTIERREZ,PARTIDO PATRIÓTICO DEL PERÚ,1,270,2,0.741,260
CAJAMARCA,CELENDÍN,JORGE NIETO MONTESINOS,PARTIDO DEL BUEN GOBIERNO,1,270,2,0.741,260
CAJAMARCA,CELENDÍN,PAUL DAVIS JAIMES BLANCO,PROGRESEMOS,1,270,2,0.741,260
CAJAMARCA,CELENDÍN,LUIS FERNANDO OLIVERA VEGA,PARTIDO FRENTE DE LA ESPERANZA 2021,1,270,2,0.741,260
CAJAMARCA,CELENDÍN,MARIA SOLEDAD PEREZ TELLO,"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",1,270,2,0.741,260
CAJAMARCA,CELENDÍN,GEORGE PATRICK FORSYTH SOMMER,PARTIDO DEMOCRÁTICO SOMOS PERÚ,1,270,2,0.741,260
CAJAMARCA,CELENDÍN,FIORELLA GIANNINA MOLINELLI ARISTONDO,FUERZA Y LIBERTAD,1,270,2,0.741,260
CAJAMARCA,CELENDÍN,RONALD DARWIN ATENCIO SOTOMAYOR,ALIANZA ELECTORAL VENCEREMOS,0,270,2,0.741,260
CAJAMARCA,CELENDÍN,FRANCISCO ERNESTO DIEZ-CANSECO TÁVARA,PARTIDO POLÍTICO PERÚ ACCIÓN,0,270,2,0.741,260
CAJAMARCA,CELENDÍN,WALTER GILMER CHIRINOS PURIZAGA,PARTIDO POLÍTICO PRIN,0,270,2,0.741,260
CAJAMARCA,CELENDÍN,ALFONSO CARLOS ESPA Y GARCES-ALVEAR,PARTIDO SICREO,0,270,2,0.741,260
CAJAMARCA,CELENDÍN,ARMANDO JOAQUIN MASSE FERNANDEZ,PARTIDO DEMOCRATICO FEDERAL,0,270,2,0.741,260
CAJAMARCA,CELENDÍN,WOLFGANG MARIO GROZO COSTA,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,0,270,2,0.741,260
CAJAMARCA,CELENDÍN,CESAR ACUÑA PERALTA,ALIANZA PARA EL PROGRESO,0,270,2,0.741,260
CAJAMARCA,CELENDÍN,YONHY LESCANO ANCIETA,PARTIDO POLÍTICO COOPERACIÓN POPULAR,0,270,2,0.741,260
CAJAMARCA,CELENDÍN,RAFAEL JORGE BELAUNDE LLOSA,LIBERTAD POPULAR,0,270,2,0.741,260
CAJAMARCA,CELENDÍN,ROSARIO DEL PILAR FERNANDEZ BAZAN,UN CAMINO DIFERENTE,0,270,2,0.741,260
CAJAMARCA,CELENDÍN,JOSE DANIEL WILLIAMS ZAPATA,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,0,270,2,0.741,260
CAJAMARCA,CELENDÍN,CARLOS ERNESTO JAICO CARRANZA,PERÚ MODERNO,0,270,2,0.741,260
CAJAMARCA,CELENDÍN,PITTER ENRIQUE VALDERRAMA PEÑA,PARTIDO APRISTA PERUANO,0,270,2,0.741,260
CAJAMARCA,CELENDÍN,CHARLIE CARRASCO SALAZAR,PARTIDO DEMÓCRATA UNIDO PERÚ,0,270,2,0.741,260
CAJAMARCA,CELENDÍN,NAPOLEON BECERRA GARCIA,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,0,270,2,0.741,260
CAJAMARCA,CELENDÍN,ROBERTO ENRIQUE CHIABRA LEON,UNIDAD NACIONAL,0,270,2,0.741,260
CAJAMARCA,CELENDÍN,MESIAS ANTONIO GUEVARA AMASIFUEN,PARTIDO MORADO,0,270,2,0.741,260
CAJAMARCA,CHOTA,ROBERTO HELBERT SANCHEZ PALOMINO,JUNTOS POR EL PERÚ,21273,465,250,53.763,40442
CAJAMARCA,CHOTA,,VOTOS EN BLANCO,7053,465,250,53.763,40442
CAJAMARCA,CHOTA,RICARDO PABLO BELMONT CASSINELLI,PARTIDO CÍVICO OBRAS,5812,465,250,53.763,40442
CAJAMARCA,CHOTA,KEIKO SOFIA FUJIMORI HIGUCHI,FUERZA POPULAR,3597,465,250,53.763,40442
CAJAMARCA,CHOTA,,VOTOS NULOS,2947,465,250,53.763,40442
CAJAMARCA,CHOTA,PABLO ALFONSO LOPEZ CHAU NAVA,AHORA NACIÓN - AN,1735,465,250,53.763,40442
CAJAMARCA,CHOTA,CESAR ACUÑA PERALTA,ALIANZA PARA EL PROGRESO,1134,465,250,53.763,40442
CAJAMARCA,CHOTA,JORGE NIETO MONTESINOS,PARTIDO DEL BUEN GOBIERNO,1118,465,250,53.763,40442
CAJAMARCA,CHOTA,JOSE LEON LUNA GALVEZ,PODEMOS PERÚ,791,465,250,53.763,40442
CAJAMARCA,CHOTA,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,RENOVACIÓN POPULAR,773,465,250,53.763,40442
CAJAMARCA,CHOTA,ALFONSO CARLOS ESPA Y GARCES-ALVEAR,PARTIDO SICREO,485,465,250,53.763,40442
CAJAMARCA,CHOTA,CARLOS GONSALO ALVAREZ LOAYZA,PARTIDO PAÍS PARA TODOS,439,465,250,53.763,40442
CAJAMARCA,CHOTA,MARIA SOLEDAD PEREZ TELLO,"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",396,465,250,53.763,40442
CAJAMARCA,CHOTA,GEORGE PATRICK FORSYTH SOMMER,PARTIDO DEMOCRÁTICO SOMOS PERÚ,311,465,250,53.763,40442
CAJAMARCA,CHOTA,RONALD DARWIN ATENCIO SOTOMAYOR,ALIANZA ELECTORAL VENCEREMOS,290,465,250,53.763,40442
CAJAMARCA,CHOTA,HERBERT CALLER GUTIERREZ,PARTIDO PATRIÓTICO DEL PERÚ,283,465,250,53.763,40442
CAJAMARCA,CHOTA,LUIS FERNANDO OLIVERA VEGA,PARTIDO FRENTE DE LA ESPERANZA 2021,279,465,250,53.763,40442
CAJAMARCA,CHOTA,VLADIMIR ROY CERRON ROJAS,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,228,465,250,53.763,40442
CAJAMARCA,CHOTA,PITTER ENRIQUE VALDERRAMA PEÑA,PARTIDO APRISTA PERUANO,196,465,250,53.763,40442
CAJAMARCA,CHOTA,MESIAS ANTONIO GUEVARA AMASIFUEN,PARTIDO MORADO,155,465,250,53.763,40442
CAJAMARCA,CHOTA,MARIO ENRIQUE VIZCARRA CORNEJO,PARTIDO POLÍTICO PERÚ PRIMERO,120,465,250,53.763,40442
CAJAMARCA,CHOTA,YONHY LESCANO ANCIETA,PARTIDO POLÍTICO COOPERACIÓN POPULAR,117,465,250,53.763,40442
CAJAMARCA,CHOTA,CHARLIE CARRASCO SALAZAR,PARTIDO DEMÓCRATA UNIDO PERÚ,112,465,250,53.763,40442
CAJAMARCA,CHOTA,ALEX GONZALES CASTILLO,PARTIDO DEMÓCRATA VERDE,110,465,250,53.763,40442
CAJAMARCA,CHOTA,ARMANDO JOAQUIN MASSE FERNANDEZ,PARTIDO DEMOCRATICO FEDERAL,91,465,250,53.763,40442
CAJAMARCA,CHOTA,WOLFGANG MARIO GROZO COSTA,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,91,465,250,53.763,40442
CAJAMARCA,CHOTA,PAUL DAVIS JAIMES BLANCO,PROGRESEMOS,69,465,250,53.763,40442
CAJAMARCA,CHOTA,ROSARIO DEL PILAR FERNANDEZ BAZAN,UN CAMINO DIFERENTE,63,465,250,53.763,40442
CAJAMARCA,CHOTA,FRANCISCO ERNESTO DIEZ-CANSECO TÁVARA,PARTIDO POLÍTICO PERÚ ACCIÓN,53,465,250,53.763,40442
CAJAMARCA,CHOTA,ANTONIO ORTIZ VILLANO,SALVEMOS AL PERÚ,53,465,250,53.763,40442
CAJAMARCA,CHOTA,ALVARO GONZALO PAZ DE LA BARRA FREIGEIRO,FE EN EL PERÚ,51,465,250,53.763,40442
CAJAMARCA,CHOTA,RAFAEL JORGE BELAUNDE LLOSA,LIBERTAD POPULAR,51,465,250,53.763,40442
CAJAMARCA,CHOTA,ROBERTO ENRIQUE CHIABRA LEON,UNIDAD NACIONAL,47,465,250,53.763,40442
CAJAMARCA,CHOTA,FIORELLA GIANNINA MOLINELLI ARISTONDO,FUERZA Y LIBERTAD,38,465,250,53.763,40442
CAJAMARCA,CHOTA,JOSE DANIEL WILLIAMS ZAPATA,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,33,465,250,53.763,40442
CAJAMARCA,CHOTA,NAPOLEON BECERRA GARCIA,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,20,465,250,53.763,40442
CAJAMARCA,CHOTA,WALTER GILMER CHIRINOS PURIZAGA,PARTIDO POLÍTICO PRIN,19,465,250,53.763,40442
CAJAMARCA,CHOTA,CARLOS ERNESTO JAICO CARRANZA,PERÚ MODERNO,9,465,250,53.763,40442
CAJAMARCA,CONTUMAZA,ROBERTO HELBERT SANCHEZ PALOMINO,JUNTOS POR EL PERÚ,3912,82,78,95.122,11188
CAJAMARCA,CONTUMAZA,KEIKO SOFIA FUJIMORI HIGUCHI,FUERZA POPULAR,2490,82,78,95.122,11188
CAJAMARCA,CONTUMAZA,,VOTOS EN BLANCO,2391,82,78,95.122,11188
CAJAMARCA,CONTUMAZA,,VOTOS NULOS,940,82,78,95.122,11188
CAJAMARCA,CONTUMAZA,RICARDO PABLO BELMONT CASSINELLI,PARTIDO CÍVICO OBRAS,874,82,78,95.122,11188
CAJAMARCA,CONTUMAZA,PITTER ENRIQUE VALDERRAMA PEÑA,PARTIDO APRISTA PERUANO,467,82,78,95.122,11188
CAJAMARCA,CONTUMAZA,JORGE NIETO MONTESINOS,PARTIDO DEL BUEN GOBIERNO,399,82,78,95.122,11188
CAJAMARCA,CONTUMAZA,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,RENOVACIÓN POPULAR,351,82,78,95.122,11188
CAJAMARCA,CONTUMAZA,CARLOS GONSALO ALVAREZ LOAYZA,PARTIDO PAÍS PARA TODOS,333,82,78,95.122,11188
CAJAMARCA,CONTUMAZA,PABLO ALFONSO LOPEZ CHAU NAVA,AHORA NACIÓN - AN,332,82,78,95.122,11188
CAJAMARCA,CONTUMAZA,CESAR ACUÑA PERALTA,ALIANZA PARA EL PROGRESO,307,82,78,95.122,11188
CAJAMARCA,CONTUMAZA,JOSE LEON LUNA GALVEZ,PODEMOS PERÚ,284,82,78,95.122,11188
CAJAMARCA,CONTUMAZA,ROSARIO DEL PILAR FERNANDEZ BAZAN,UN CAMINO DIFERENTE,253,82,78,95.122,11188
CAJAMARCA,CONTUMAZA,GEORGE PATRICK FORSYTH SOMMER,PARTIDO DEMOCRÁTICO SOMOS PERÚ,125,82,78,95.122,11188
CAJAMARCA,CONTUMAZA,ALFONSO CARLOS ESPA Y GARCES-ALVEAR,PARTIDO SICREO,114,82,78,95.122,11188
CAJAMARCA,CONTUMAZA,MARIA SOLEDAD PEREZ TELLO,"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",112,82,78,95.122,11188
CAJAMARCA,CONTUMAZA,RONALD DARWIN ATENCIO SOTOMAYOR,ALIANZA ELECTORAL VENCEREMOS,95,82,78,95.122,11188
CAJAMARCA,CONTUMAZA,VLADIMIR ROY CERRON ROJAS,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,95,82,78,95.122,11188
CAJAMARCA,CONTUMAZA,HERBERT CALLER GUTIERREZ,PARTIDO PATRIÓTICO DEL PERÚ,86,82,78,95.122,11188
CAJAMARCA,CONTUMAZA,LUIS FERNANDO OLIVERA VEGA,PARTIDO FRENTE DE LA ESPERANZA 2021,77,82,78,95.122,11188
CAJAMARCA,CONTUMAZA,MARIO ENRIQUE VIZCARRA CORNEJO,PARTIDO POLÍTICO PERÚ PRIMERO,64,82,78,95.122,11188
CAJAMARCA,CONTUMAZA,MESIAS ANTONIO GUEVARA AMASIFUEN,PARTIDO MORADO,57,82,78,95.122,11188
CAJAMARCA,CONTUMAZA,ALEX GONZALES CASTILLO,PARTIDO DEMÓCRATA VERDE,51,82,78,95.122,11188
CAJAMARCA,CONTUMAZA,YONHY LESCANO ANCIETA,PARTIDO POLÍTICO COOPERACIÓN POPULAR,48,82,78,95.122,11188
CAJAMARCA,CONTUMAZA,RAFAEL JORGE BELAUNDE LLOSA,LIBERTAD POPULAR,33,82,78,95.122,11188
CAJAMARCA,CONTUMAZA,CHARLIE CARRASCO SALAZAR,PARTIDO DEMÓCRATA UNIDO PERÚ,32,82,78,95.122,11188
CAJAMARCA,CONTUMAZA,JOSE DANIEL WILLIAMS ZAPATA,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,31,82,78,95.122,11188
CAJAMARCA,CONTUMAZA,ROBERTO ENRIQUE CHIABRA LEON,UNIDAD NACIONAL,24,82,78,95.122,11188
CAJAMARCA,CONTUMAZA,PAUL DAVIS JAIMES BLANCO,PROGRESEMOS,20,82,78,95.122,11188
CAJAMARCA,CONTUMAZA,ARMANDO JOAQUIN MASSE FERNANDEZ,PARTIDO DEMOCRATICO FEDERAL,20,82,78,95.122,11188
CAJAMARCA,CONTUMAZA,WOLFGANG MARIO GROZO COSTA,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,20,82,78,95.122,11188
CAJAMARCA,CONTUMAZA,FRANCISCO ERNESTO DIEZ-CANSECO TÁVARA,PARTIDO POLÍTICO PERÚ ACCIÓN,18,82,78,95.122,11188
CAJAMARCA,CONTUMAZA,ANTONIO ORTIZ VILLANO,SALVEMOS AL PERÚ,17,82,78,95.122,11188
CAJAMARCA,CONTUMAZA,ALVARO GONZALO PAZ DE LA BARRA FREIGEIRO,FE EN EL PERÚ,16,82,78,95.122,11188
CAJAMARCA,CONTUMAZA,FIORELLA GIANNINA MOLINELLI ARISTONDO,FUERZA Y LIBERTAD,14,82,78,95.122,11188
CAJAMARCA,CONTUMAZA,NAPOLEON BECERRA GARCIA,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,8,82,78,95.122,11188
CAJAMARCA,CONTUMAZA,WALTER GILMER CHIRINOS PURIZAGA,PARTIDO POLÍTICO PRIN,7,82,78,95.122,11188
CAJAMARCA,CONTUMAZA,CARLOS ERNESTO JAICO CARRANZA,PERÚ MODERNO,2,82,78,95.122,11188
